pid,label,description,page_type,collection,approx_date,african_names,location,original_file,order,layout,thumbnail,manifest,full
ac39,StJamesRegister26,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4123,39,StJames_item,"/img/derivatives/iiif/images/ac39/full/250,/0/default.jpg",/img/derivatives/iiif/ac39/manifest.json,"/img/derivatives/iiif/images/ac39/full/1140,/0/default.jpg"
ac40,StJamesRegister27,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4124,40,StJames_item,"/img/derivatives/iiif/images/ac40/full/250,/0/default.jpg",/img/derivatives/iiif/ac40/manifest.json,"/img/derivatives/iiif/images/ac40/full/1140,/0/default.jpg"
ac41,StJamesRegister28,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4125,41,StJames_item,"/img/derivatives/iiif/images/ac41/full/250,/0/default.jpg",/img/derivatives/iiif/ac41/manifest.json,"/img/derivatives/iiif/images/ac41/full/1140,/0/default.jpg"
ac42,StJamesRegister29,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4126,42,StJames_item,"/img/derivatives/iiif/images/ac42/full/250,/0/default.jpg",/img/derivatives/iiif/ac42/manifest.json,"/img/derivatives/iiif/images/ac42/full/1140,/0/default.jpg"
ac43,StJamesRegister22,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4127,43,StJames_item,"/img/derivatives/iiif/images/ac43/full/250,/0/default.jpg",/img/derivatives/iiif/ac43/manifest.json,"/img/derivatives/iiif/images/ac43/full/1140,/0/default.jpg"
ac44,StJamesRegister23,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4128,44,StJames_item,"/img/derivatives/iiif/images/ac44/full/250,/0/default.jpg",/img/derivatives/iiif/ac44/manifest.json,"/img/derivatives/iiif/images/ac44/full/1140,/0/default.jpg"
ac45,StJamesRegister24,birth baptism page,baptism record,StJames,1840,JCS Placeholder,"New Providence, Bahamas",IMG_4129,45,StJames_item,"/img/derivatives/iiif/images/ac45/full/250,/0/default.jpg",/img/derivatives/iiif/ac45/manifest.json,"/img/derivatives/iiif/images/ac45/full/1140,/0/default.jpg"
ac46,StJamesRegister25,birth baptism page,baptism record,StJames,1875,JCS Placeholder,"New Providence, Bahamas",IMG_4130,46,StJames_item,"/img/derivatives/iiif/images/ac46/full/250,/0/default.jpg",/img/derivatives/iiif/ac46/manifest.json,"/img/derivatives/iiif/images/ac46/full/1140,/0/default.jpg"
ac47,StJamesRegister26,birth baptism page,baptism record,StJames,1875,JCS Placeholder,"New Providence, Bahamas",IMG_4131,47,StJames_item,"/img/derivatives/iiif/images/ac47/full/250,/0/default.jpg",/img/derivatives/iiif/ac47/manifest.json,"/img/derivatives/iiif/images/ac47/full/1140,/0/default.jpg"
ac48,StJamesRegister27,birth baptism page,baptism record,StJames,1875,JCS Placeholder,"New Providence, Bahamas",IMG_4132,48,StJames_item,"/img/derivatives/iiif/images/ac48/full/250,/0/default.jpg",/img/derivatives/iiif/ac48/manifest.json,"/img/derivatives/iiif/images/ac48/full/1140,/0/default.jpg"
ac49,StJamesRegister28,birth baptism page,baptism record,StJames,1885,JCS Placeholder,"New Providence, Bahamas",IMG_4140,49,StJames_item,"/img/derivatives/iiif/images/ac49/full/250,/0/default.jpg",/img/derivatives/iiif/ac49/manifest.json,"/img/derivatives/iiif/images/ac49/full/1140,/0/default.jpg"
ac50,StJamesRegister29,birth baptism page,baptism record,StJames,1885,JCS Placeholder,"New Providence, Bahamas",IMG_4141,50,StJames_item,"/img/derivatives/iiif/images/ac50/full/250,/0/default.jpg",/img/derivatives/iiif/ac50/manifest.json,"/img/derivatives/iiif/images/ac50/full/1140,/0/default.jpg"
ac51,StJamesRegister30,birth baptism page,baptism record,StJames,1885,JCS Placeholder,"New Providence, Bahamas",IMG_4142,51,StJames_item,"/img/derivatives/iiif/images/ac51/full/250,/0/default.jpg",/img/derivatives/iiif/ac51/manifest.json,"/img/derivatives/iiif/images/ac51/full/1140,/0/default.jpg"
